state,cod6,cluster,prob,rank,risk_cat,variable,correlation
MG,317020,0,0.93380994,2,Very High,tmed_nov,0.49885344275686505
MG,312770,0,0.9143689,3,Very High,tmed_nov,0.49885344275686505
MG,313670,0,0.91193634,4,Very High,tmed_nov,0.49885344275686505
MG,317010,0,0.9101604,5,Very High,tmed_nov,0.49885344275686505
MG,312230,0,0.90960723,6,Very High,tmed_nov,0.49885344275686505
MG,310350,0,0.9059993,7,Very High,tmed_nov,0.49885344275686505
MG,313760,0,0.9010063,8,Very High,tmed_nov,0.49885344275686505
MG,313380,0,0.89866155,9,Very High,tmed_nov,0.49885344275686505
MG,316720,0,0.89765537,10,Very High,tmed_nov,0.49885344275686505
MG,314710,0,0.8921417,11,Very High,tmed_nov,0.49885344275686505
MG,314330,0,0.89100826,12,Very High,tmed_nov,0.49885344275686505
MG,313130,0,0.8904842,13,Very High,tmed_nov,0.49885344275686505
MG,314700,0,0.88898265,14,Very High,tmed_nov,0.49885344275686505
MG,310160,0,0.88863754,15,Very High,tmed_nov,0.49885344275686505
MG,311860,0,0.88629586,16,Very High,tmed_nov,0.49885344275686505
MG,312710,0,0.8835564,17,Very High,tmed_nov,0.49885344275686505
MG,313420,0,0.8825298,18,Very High,tmed_nov,0.49885344275686505
MG,313440,0,0.87718666,19,Very High,tmed_nov,0.49885344275686505
MG,313170,0,0.8724037,20,Very High,tmed_nov,0.49885344275686505
MG,310400,0,0.86745393,21,Very High,tmed_nov,0.49885344275686505
MG,315780,0,0.86715984,22,Very High,tmed_nov,0.49885344275686505
MG,314520,0,0.8669642,23,Very High,tmed_nov,0.49885344275686505
MG,315895,0,0.8660852,24,Very High,tmed_nov,0.49885344275686505
MG,317200,0,0.86559427,25,Very High,tmed_nov,0.49885344275686505
MG,315180,0,0.86442506,26,Very High,tmed_nov,0.49885344275686505
MG,310670,0,0.86181104,27,Very High,tmed_nov,0.49885344275686505
MG,316470,0,0.8595332,28,Very High,tmed_nov,0.49885344275686505
MG,314930,0,0.8562881,29,Very High,tmed_nov,0.49885344275686505
MG,314790,0,0.8558422,30,Very High,tmed_nov,0.49885344275686505
MG,317040,0,0.85548127,31,Very High,tmed_nov,0.49885344275686505
MG,316990,0,0.8540284,32,Very High,tmed_nov,0.49885344275686505
MG,317070,0,0.85312873,33,Very High,tmed_nov,0.49885344275686505
MG,311787,0,0.8470938,34,Very High,tmed_nov,0.49885344275686505
MG,313665,0,0.8470684,35,Very High,tmed_nov,0.49885344275686505
MG,311530,0,0.84667075,36,Very High,tmed_nov,0.49885344275686505
MG,317120,0,0.8466028,37,Very High,tmed_nov,0.49885344275686505
MG,316935,0,0.8459724,38,Very High,tmed_nov,0.49885344275686505
MG,315250,0,0.8405251,39,Very High,tmed_nov,0.49885344275686505
MG,316870,0,0.83970004,40,Very High,tmed_nov,0.49885344275686505
MG,313010,0,0.8379084,41,Very High,tmed_nov,0.49885344275686505
